1,2,3,11892.5,11892.5
2,3,3,12226.49,12054.99
3,4,1,12321.02,12321.02
4,6,1,12569.41,12282.42
5,7,1,12412.07,12404.08
6,8,2,12144.22,11998.08
7,9,3,11613.3,11488.46
8,11,1,11951.53,11630.03
9,12,1,12046.21,11974.62
10,14,3,12632.76,12632.76
11,15,2,12952.29,12943.06
12,17,1,13214.16,13174.65
13,18,3,12391.56,12107.48
14,20,1,13007.47,12951.16
15,22,2,13437.66,13437.66
16,23,2,13099.19,13099.11
17,26,3,13860.58,13860.58
18,27,3,14054.49,13937.6
19,28,3,14578.54,14531.48
20,29,2,14839.8,14687.05
21,31,2,14911.6,14911.6
22,32,2,15503.85,15503.85
23,34,1,15132.49,15110.34
24,35,2,15558.01,15543.25
25,40,1,16458.05,16457.6
26,41,1,16580.26,16525.25
27,43,1,16828.53,16828.53
28,44,1,16561.7,16437.07
29,46,1,17040.46,16776.13
30,48,3,17827.27,17726.55
31,52,1,17778.52,17585.01
32,53,1,17859.27,17859.27
33,54,1,18017.82,17982.06
34,55,1,17638.12,17638.12
35,57,3,16528.03,15979.95
36,58,3,16278.62,16073.82
37,60,2,17719.72,17719.72
38,62,3,16453.63,16299.47
39,63,1,16545.67,16545.67
40,64,2,17661.74,17568.02
41,66,1,17754.55,17664.79
42,67,1,17924.24,17916.91
43,68,1,18434.5,18355.75
44,69,1,18396.57,18295.48
45,71,3,18158.24,17940.84
46,72,3,19149.2,19138.79
47,74,2,19923.81,19845.99
48,75,3,20957.29,20957.29
49,77,1,20962.73,20898.38
50,78,1,21030.55,20994.22
51,80,1,21961.42,21940.81
52,81,1,21981.77,21974.91
53,83,3,23442.9,23388.91
54,84,3,24305.4,23921.9
55,86,3,26083.04,26014.44
56,87,3,25024.04,24442.56
57,89,2,24117.29,23808.19
58,90,1,24542.09,24542.09
59,92,2,25461.63,25278.32
60,94,2,26598.36,26596.05
61,95,3,25142.08,25108.11
